Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BT_Audio_iJoey.brd" as of: 3/19/13 11:38 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.630,0.400,180
C2,Top,0.090,0.500,90
C3,Top,0.620,0.460,180
C4,Top,0.500,2.040,90
C5,Top,0.830,0.280,180
C6,Top,0.910,1.350,0
C7,Top,1.275,2.170,0
C8,Top,0.760,0.750,270
C9,Top,0.910,0.840,180
C10,Top,0.780,0.840,0
C11,Top,0.820,0.940,270
C12,Top,0.865,0.200,180
C13,Top,0.870,0.940,270
C14,Top,1.020,0.390,0
C15,Top,1.010,0.600,270
C16,Top,0.740,0.600,90
C17,Top,0.960,1.260,270
C18,Top,1.040,0.840,0
C19,Top,1.460,1.300,270
C20,Top,1.510,1.300,90
C21,Top,1.360,1.170,270
C22,Top,1.450,0.890,90
C23,Top,1.440,0.770,180
C24,Top,1.260,1.300,270
C25,Top,1.310,1.300,90
C26,Top,1.160,1.170,270
C27,Top,1.010,0.940,90
C28,Top,1.190,0.760,180
C29,Top,0.220,1.240,270
C30,Top,0.270,1.005,270
C31,Top,0.600,0.710,90
D1,Top,1.050,1.120,90
D2,Top,0.870,1.120,270
IC1,Top,0.320,0.460,270
IC2,Top,0.900,0.590,180
IC3,Top,1.270,0.950,90
IC4,Top,1.090,1.770,270
IC5,Top,0.430,0.930,0
L1,Top,0.820,0.740,90
L2,Top,0.910,0.780,180
L3,Top,0.740,0.250,270
L4,Top,0.690,0.600,270
LED1,Top,0.940,0.070,270
LED2,Top,1.040,0.070,270
LED3,Top,0.530,2.290,90
LED4,Top,1.030,2.290,90
R1,Top,0.120,0.730,90
R2,Top,0.240,0.730,90
R3,Top,1.020,0.460,180
R4,Top,0.910,0.130,0
R5,Top,1.040,0.130,0
R6,Top,0.840,1.250,270
R7,Top,0.900,1.260,90
R8,Top,1.460,1.170,90
R9,Top,1.510,1.170,90
R10,Top,1.410,1.170,270
R11,Top,1.500,0.890,270
R12,Top,1.320,0.740,90
R13,Top,1.260,1.170,90
R14,Top,1.310,1.170,90
R15,Top,1.210,1.170,270
R16,Top,1.070,0.940,270
R17,Top,1.040,0.780,180
R18,Top,0.393,2.281,180
R19,Top,1.020,2.225,0
SJ1,Top,0.880,0.470,180
